"","Symbol","logFC","FDR"
"214","Itgbl1",-0.943630008757527,0.00128296661032842
"215","Fbp2",-1.02880488848985,1.47044309625368e-05
"216","Parp8",0.646759177507386,6.45182265699059e-05
"217","Slc25a34",-1.43119673490213,0.0061272221864117
"218","Sec14l5",1.52319379426121,1.84019077211679e-07
"219","Spsb1",-1.05399602876665,0.0037197904919425
"220","Lrrc58",-0.65836553465113,6.45182265699059e-05
"221","Acaa2",-0.628078782815902,0.0069638463051671
"222","Ermp1",0.60589671924778,0.000492070605428383
"223","Tbc1d1",-0.901731880863233,6.83647303956205e-13
"224","Acadl",-0.598209623299509,0.000181891187694988
"225","Prg4",-0.952624556149803,3.49055115899744e-06
"226","Slc43a3",-0.708446906935009,0.00136787253315746
"227","Bcl2l11",-0.853585472092082,2.56947976685235e-05
"228","Col16a1",-1.17560733870971,0.000165973942090543
"229","Pdcd4",0.598268598438233,0.00237860913837774
"230","Crip3",1.5944053827053,0.00560477008810479
"231","Mc5r",1.05731157724439,0.00120805008161659
"232","2410006H16Rik",-1.12214890117927,5.98694481168968e-06
"233","Rhou",-0.836995950424195,7.07953338433842e-05
"234","Nr4a1",0.609384495954642,0.00192821334489165
"235","Slc16a9",-0.949254965587501,7.37990925227902e-05
"236","Hdac9",0.949942766496171,0.00120805008161659
"237","Myh10",-0.603841341498086,0.00953814265550286
"238","Gdf1",1.00454316566774,1.696967759197e-06
"239","Foxo3",-0.655374230492624,0.00013572136270221
"240","D430041D05Rik",0.860693863914269,0.000409549611276514
"241","Stxbp4",-0.600259032869795,0.00713449657577081
"242","Acot2",-1.34047874540862,0.000585062674469147
"243","Sorbs3",-0.699651360962386,1.32820604857976e-07
"244","Cldn5",-0.76754401738621,0.0003102175556182
"245","Col1a2",-1.22874566227352,3.11575631058094e-17
"246","Gramd1b",-1.23537658815171,2.73438029465272e-08
"247","Pdk4",-1.16282433641017,3.57122631825972e-11
"248","Plin4",-1.0480529218249,0.000755987787675318
"249","Sorbs1",-0.623943367069356,1.19056880108542e-08
"250","A330023F24Rik",0.736482444462461,0.00375721932023238
"251","Rab15",-1.37401002252726,0.00220924160415027
"252","Lingo3",0.740914022357456,0.00230307171592423
"253","Rsc1a1",-0.725289889503197,2.52782195441e-07
"254","Dhrs3",-0.616624908752101,0.0023150690387594
"255","Hlf",0.823786872237292,0.00424711101497119
"256","Azin1",0.653653134836128,2.39504258924618e-05
"257","Mettl21c",0.583003045527889,0.00256694418652277
"258","Nox4",-0.920823972955558,0.00218959792202407
"259","Mpzl3",1.06663612076777,0.00465767078178703
"260","Gpt2",-0.602923449461613,0.00372537486501954
"261","Sdc4",-0.742206155291349,1.00553758168593e-05
"262","Abra",-0.596598025648563,0.00898281972305732
"263","Gpat3",-1.34846130783237,3.34241083871162e-09
"264","Bhlhe41",0.94430395167662,1.53494319691716e-07
"265","Mras",0.75855866555136,0.00197677439078727
"266","Mrtfa",1.00112395775904,0.000158429341214783
"267","Actn2",-0.621888223064194,0.00504165360920993
"268","Tgif1",-1.38351010841059,1.4946709862981e-07
"269","Gbp6",-1.87616288748118,0.000394860428412632
"270","Ppm1d",-0.607218725767262,0.00903074040707648
"271","Fgf1",-0.897444588983999,0.000796190838150267
"272","Bhlhe40",0.994754446034992,1.26970083508866e-07
"273","Vwa1",0.728826847105736,0.00167607105421079
"274","Rusc2",-0.751957059928134,3.54201106463526e-06
"275","Tnfrsf12a",-1.34226485866633,6.26046314514497e-10
"276","Camta1",-0.862054164542891,0.000451910574077831
"277","Cpeb2",0.928836806545633,0.000699072387795494
"278","Slc25a20",-0.580807304161786,0.00031633215244734
"279","Asb2",-0.794289900664178,2.66770989072968e-06
"280","Aifm2",-0.988019321498875,0.000152612710210995
"281","Tmem233",0.925367004337135,8.58865978756839e-09
