"","Symbol","logFC","FDR"
"259","Spns2",-0.826043839238675,9.50932315624475e-08
"260","Itga6",0.713277822821143,9.45336020773582e-05
"261","Ret",1.33613007195295,0.000358101058467585
"262","Gvin1",1.34811732415922,1.23667419743457e-08
"263","Gnl3",-0.655978155500287,1.89812564057481e-06
"264","Cep85l",-1.2645675463782,2.74302278287175e-24
"265","D230025D16Rik",-1.0789260284586,5.49704407771735e-07
"266","Map1b",0.642980417337309,0.000286551322933777
"267","Per1",-1.09351265689212,9.26674496183711e-08
"268","Fbxo31",-0.721420032875739,8.20836963529708e-12
"269","Nfil3",-2.30158570591395,1.76023064826906e-09
"270","Spock2",-0.963929347411617,0.00220921878772409
"271","Hmgn5",1.04555648694631,0.00932469898328256
"272","Acss1",-0.844772712362797,4.06008524117293e-05
"273","Nfkbia",-0.649322686972557,0.000143742183832436
"274","Hbegf",-1.02991067407403,1.95769019289173e-05
"275","Cers1",0.806868784829832,0.00011508321426864
"276","Rbm12b2",0.621215731556778,0.00457406198931089
"277","Ifi203",0.989309740028299,0.00392943521849598
"278","Col1a1",-0.814408117330421,0.000648159927813937
"279","Grtp1",1.62649752661688,4.69094156085626e-06
"280","Myl9",0.676649916739646,0.00069939017096877
"281","Sobp",0.824991442643016,1.05755698237269e-05
"282","H2-Q9",1.04979431358306,0.00487929365711336
"283","Clpx",-0.608684731874741,2.168724403816e-06
"284","Kctd20",-0.601140194435849,1.2380820368336e-07
"285","Rhbdf2",-0.852491947794136,1.12563918334223e-07
"286","Tgfbr3",-0.741874472660253,7.2476455799715e-07
"287","Col6a6",0.935034243545869,0.00597036409457126
"288","Nufip1",-0.819305405691741,2.22210757759628e-05
"289","Fkbp5",-1.99978997038366,0.00041132000099421
"290","Nhs",1.19127647008071,0.000188237998343247
"291","Fam78a",0.915802913152929,0.000151173793072848
"292","Ptx3",0.937336704689108,0.00504886442846485
"293","Odf3l2",-2.23331399433791,1.047350723106e-05
"294","Calm2",1.17871430780401,8.92636907040999e-15
"295","Cnn2",0.914030606977243,0.000116582671024102
"296","Nr1d2",0.711319434346105,2.20374473297912e-10
"297","Thap2",1.2255845739494,4.30068418909331e-08
"298","Uba7",1.63631763848854,0.000577688024135799
"299","Tiam2",-0.611755309303874,0.00625282646363382
"300","Inka2",0.74854988171893,0.00950562131646838
"301","Tmem140",-2.3517914129579,1.03312075941228e-43
"302","Col6a5",2.13271536710992,0.00884004143837288
"303","Setbp1",-0.7444317440352,4.81813469618727e-05
"304","Ppp1r3c",-1.68587153258448,8.98891605631991e-06
"305","Mapk1ip1",-1.05019518699115,1.95738409328134e-10
"306","Fgfbp1",-1.18265555397857,0.00756235403302495
"307","Atp1b1",0.610443641561022,0.00401895129802911
"308","Anp32b",0.904018416176516,0.00133803019938091
"309","Agrn",0.627912785986906,0.00693908932113399
"310","Aqp4",0.659403874542844,0.000351710871462948
"311","Zwint",-0.610963770420161,2.35945696213891e-05
"312","A330094K24Rik",1.17484887808052,9.04719681540987e-05
"313","Epb41l4aos",-1.33016931555595,5.24010435404863e-05
"314","Mt2",-1.79091937175702,0.00921342567512975
"315","Plau",-0.589957795996433,5.59509933196914e-06
"316","Rc3h1",-0.634701241470316,1.80826445065433e-10
